Federal organization,Fiscal year,Fleet type,GHG scope,Energy category,Fuel type,Fuel consumption (L),Energy use (GJ),Emissions (kt)
Agriculture and Agri-Food Canada,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,276954.0499,10607.34011,0.758451695
Agriculture and Agri-Food Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),213748.5628,7237.526336,0.445890298
Agriculture and Agri-Food Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (85%),250611.0003,6342.964417,0.089167377
Agriculture and Agri-Food Canada,2005-06,on-road vehicles,1,gasoline,gasoline,1747897.685,61176.41897,4.049443493
Agriculture and Agri-Food Canada,2005-06,on-road vehicles,1,liquified petroleum gas,propane,2697.999442,68.28636588,0.004155838
Agriculture and Agri-Food Canada,2005-06,other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,802220.2837,30725.03687,2.15706926
Agriculture and Agri-Food Canada,2005-06,other mobile equipment,1,fuels with renewable content,ethanol-blended gasoline (10%),25147.41901,851.4916077,0.056217065
Agriculture and Agri-Food Canada,2005-06,other mobile equipment,1,gasoline,gasoline,199127.8826,6969.475891,0.491089241
Canada Border Services Agency,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,149821.0156,5738.144897,0.410292976
Canada Border Services Agency,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),25571.99774,865.8678436,0.05334446
Canada Border Services Agency,2005-06,on-road vehicles,1,gasoline,gasoline,1700451.521,59515.80322,3.939521606
Canada Revenue Agency,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,24175.00147,925.9025564,0.066204523
Canada Revenue Agency,2005-06,on-road vehicles,1,gasoline,gasoline,142968.9901,5003.914655,0.331223438
Canadian Food Inspection Agency,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),161867.5417,5480.834961,0.337663685
Canadian Food Inspection Agency,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (85%),1123.499908,28.43578267,0.000399741
Canadian Food Inspection Agency,2005-06,on-road vehicles,1,gasoline,gasoline,2532467.676,88636.36865,5.867098419
Canadian Food Inspection Agency,2005-06,other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,18823.99507,720.9590111,0.050615386
Canadian Food Inspection Agency,2005-06,other mobile equipment,1,gasoline,gasoline,15430.99474,540.084816,0.038055933
Canadian Space Agency,2005-06,other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,211.1668772,8.087691396,0.000567801
Canadian Space Agency,2005-06,other mobile equipment,1,liquified petroleum gas,propane,88.72546836,2.245641604,0.000137018
Correctional Service Canada,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,78954.98729,3023.976013,0.216222441
Correctional Service Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),36042.00896,1220.382423,0.075185415
Correctional Service Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (85%),23070.99049,583.9267693,0.008208662
Correctional Service Canada,2005-06,on-road vehicles,1,gasoline,gasoline,1066691.741,37334.21094,2.471257996
Correctional Service Canada,2005-06,on-road vehicles,1,liquified petroleum gas,propane,42163.99749,1067.170776,0.064946894
Correctional Service Canada,2005-06,on-road vehicles,1,natural gas,compressed natural gas,15744.902,0.598306276,3.39014E-05
Crown-Indigenous Relations and Northern Affairs Canada,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,3405.999839,130.4497938,0.009327515
Crown-Indigenous Relations and Northern Affairs Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),13.9999973,0.474039908,2.92047E-05
Crown-Indigenous Relations and Northern Affairs Canada,2005-06,on-road vehicles,1,gasoline,gasoline,31724.00447,1110.340157,0.073496605
Employment and Social Development Canada,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,5409.000586,207.1647224,0.014812842
Employment and Social Development Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),3295.00053,111.568718,0.006873536
Employment and Social Development Canada,2005-06,on-road vehicles,1,gasoline,gasoline,601008.0741,21035.28259,1.392384727
Employment and Social Development Canada,2005-06,on-road vehicles,1,liquified petroleum gas,propane,110.9999625,2.809409052,0.000170978
Environment and Climate Change Canada,2005-06,aircraft,1,aviation fuel,aviation gasoline,22551.99416,755.9428444,0.05609923
Environment and Climate Change Canada,2005-06,aircraft,1,aviation fuel,jet fuel,37328.01652,1396.067818,0.096292289
Environment and Climate Change Canada,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,102851.878,3939.226929,0.276570166
Environment and Climate Change Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),70185.47351,2376.480133,0.146410352
Environment and Climate Change Canada,2005-06,on-road vehicles,1,gasoline,gasoline,1434890.96,50221.18359,3.324282944
Environment and Climate Change Canada,2005-06,on-road vehicles,1,liquified petroleum gas,propane,16289.937,412.2983055,0.02509205
Environment and Climate Change Canada,2005-06,on-road vehicles,1,natural gas,compressed natural gas,2220.073801,0.084362804,4.7802E-06
Environment and Climate Change Canada,2005-06,other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,16520.34242,632.7291145,0.044423412
Environment and Climate Change Canada,2005-06,other mobile equipment,1,fuels with renewable content,ethanol-blended gasoline (10%),7977.048533,270.1028633,0.017832697
Environment and Climate Change Canada,2005-06,other mobile equipment,1,gasoline,gasoline,246088.7503,8613.106262,0.606903931
Environment and Climate Change Canada,2005-06,other mobile equipment,1,liquified petroleum gas,propane,2101.999439,53.2016058,0.003237795
Fisheries and Oceans Canada,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,607621.8767,23271.91788,1.664005754
Fisheries and Oceans Canada,2005-06,on-road vehicles,1,gasoline,gasoline,3426420.32,119924.7112,7.938156042
Fisheries and Oceans Canada,2005-06,on-road vehicles,1,liquified petroleum gas,propane,11029.99953,279.169288,0.016989945
Health Canada,2005-06,on-road vehicles,1,gasoline,gasoline,686609.8528,24031.34485,1.590703865
"Immigration, Refugees and Citizenship Canada",2005-06,on-road vehicles,1,gasoline,gasoline,39780.63224,1392.322128,0.092161819
Indigenous Services Canada,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,149.9999885,5.744999558,0.000410783
Indigenous Services Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),1532.999982,51.90737939,0.003197914
Indigenous Services Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (85%),124.0000017,3.138440043,4.41192E-05
Indigenous Services Canada,2005-06,on-road vehicles,1,gasoline,gasoline,968195.9037,33886.85663,2.243068829
"Innovation, Science and Economic Development Canada",2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,109811.0133,4205.76181,0.300723398
"Innovation, Science and Economic Development Canada",2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),35125.98388,1189.365814,0.07327458
"Innovation, Science and Economic Development Canada",2005-06,on-road vehicles,1,gasoline,gasoline,647853.275,22674.86462,1.50091333
"Innovation, Science and Economic Development Canada",2005-06,on-road vehicles,1,liquified petroleum gas,propane,3674.999954,93.01424885,0.005660748
"Innovation, Science and Economic Development Canada",2005-06,on-road vehicles,1,natural gas,compressed natural gas,6722.647893,0.25546062,0.000014475
National Defence,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,6343331.473,242949.5954,17.36838208
National Defence,2005-06,on-road vehicles,1,fuels with renewable content,biodiesel (5%),132741.9915,5048.642534,0.345727054
National Defence,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),327220.0073,11079.66945,0.682597422
National Defence,2005-06,on-road vehicles,1,gasoline,gasoline,10673524.33,373573.3517,24.73108118
National Defence,2005-06,on-road vehicles,1,liquified petroleum gas,propane,117314.974,2969.241993,0.180705027
National Research Council Canada,2005-06,aircraft,1,aviation fuel,aviation gasoline,8380.997949,280.9310513,0.020848149
National Research Council Canada,2005-06,aircraft,1,aviation fuel,jet fuel,352893.8465,13198.22986,0.910334763
National Research Council Canada,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,10059.69673,385.2863846,0.027549032
National Research Council Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),100408.7868,3399.841522,0.209457821
National Research Council Canada,2005-06,on-road vehicles,1,gasoline,gasoline,51703.99475,1809.639816,0.119785233
National Research Council Canada,2005-06,on-road vehicles,1,liquified petroleum gas,propane,416.7001575,10.54668099,0.00064186
Natural Resources Canada,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,43501.5911,1666.110939,0.119131437
Natural Resources Canada,2005-06,on-road vehicles,1,fuels with renewable content,biodiesel (20%),9914.497572,369.1564026,0.021835236
Natural Resources Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),22689.49803,768.2664032,0.047331431
Natural Resources Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (85%),55480.20042,1404.203873,0.019739855
Natural Resources Canada,2005-06,on-road vehicles,1,gasoline,gasoline,660135.0063,23104.72522,1.529367783
Natural Resources Canada,2005-06,on-road vehicles,1,liquified petroleum gas,propane,5796.999575,146.7220592,0.008929349
Natural Resources Canada,2005-06,on-road vehicles,1,natural gas,compressed natural gas,2469.106259,0.093826038,5.3164E-06
Parks Canada,2005-06,Marine vessels,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,50000.00837,1915.00032,0.135353956
Parks Canada,2005-06,Marine vessels,1,gasoline,gasoline,249999.9616,8749.998657,0.58246387
Parks Canada,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,1337707.003,51234.17822,3.663382233
Parks Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),862722.5674,29211.78613,1.799683441
Parks Canada,2005-06,on-road vehicles,1,gasoline,gasoline,1953018.387,68355.64355,4.52465744
Parks Canada,2005-06,on-road vehicles,1,liquified petroleum gas,propane,80147.98204,2028.545425,0.123455146
Parks Canada,2005-06,on-road vehicles,1,natural gas,compressed natural gas,10122.73407,0.384663895,2.17959E-05
Parks Canada,2005-06,other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,60000.01474,2298.000565,0.161332476
Parks Canada,2005-06,other mobile equipment,1,gasoline,gasoline,150000.0558,5250.001953,0.36993018
Public Services and Procurement Canada,2005-06,Marine vessels,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,13900.20246,532.3777542,0.03762897
Public Services and Procurement Canada,2005-06,Marine vessels,1,gasoline,gasoline,749.2001261,26.22200441,0.001745527
Public Services and Procurement Canada,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,19336.09606,740.5724792,0.052952951
Public Services and Procurement Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),11540.29895,390.7545223,0.024073637
Public Services and Procurement Canada,2005-06,on-road vehicles,1,gasoline,gasoline,530701.0498,18574.53674,1.22950177
Public Services and Procurement Canada,2005-06,on-road vehicles,1,liquified petroleum gas,propane,240.9462988,6.098350823,0.000371139
Public Services and Procurement Canada,2005-06,on-road vehicles,1,natural gas,compressed natural gas,1088.222176,0.041352443,2.34313E-06
Public Services and Procurement Canada,2005-06,other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,7059.397336,270.374918,0.018981841
Public Services and Procurement Canada,2005-06,other mobile equipment,1,fuels with renewable content,ethanol-blended gasoline (10%),510.3998894,17.28214025,0.001140999
Public Services and Procurement Canada,2005-06,other mobile equipment,1,gasoline,gasoline,49969.59446,1748.935806,0.123235038
Public Services and Procurement Canada,2005-06,other mobile equipment,1,liquified petroleum gas,propane,2288.900426,57.93206978,0.003525684
Royal Canadian Mounted Police,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,28301.5909,1083.950932,0.077505451
Royal Canadian Mounted Police,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),85848.32148,2906.824165,0.179083891
Royal Canadian Mounted Police,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (85%),1130.105596,28.60297263,0.000402092
Royal Canadian Mounted Police,2005-06,on-road vehicles,1,gasoline,gasoline,4442803.753,155498.1313,10.29286368
Royal Canadian Mounted Police,2005-06,on-road vehicles,1,liquified petroleum gas,propane,1170.384022,29.6224196,0.001802789
Royal Canadian Mounted Police,2005-06,on-road vehicles,1,natural gas,compressed natural gas,3069.956027,0.116658329,6.61013E-06
Transport Canada,2005-06,aircraft,1,aviation fuel,aviation gasoline,73752.48702,2472.183365,0.180542416
Transport Canada,2005-06,aircraft,1,aviation fuel,jet fuel,5193533.772,194238.1631,13.3959679
Transport Canada,2005-06,Marine vessels,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,13097529.1,501635.3645,35.45015972
Transport Canada,2005-06,Marine vessels,1,gasoline,gasoline,12660.0041,443.1001434,0.029495962
Transport Canada,2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,946.9998972,36.27009606,0.002592937
Transport Canada,2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (85%),3723.000086,94.22913218,0.001324644
Transport Canada,2005-06,on-road vehicles,1,gasoline,gasoline,739163.1723,25870.71103,1.712524518
Transport Canada,2005-06,on-road vehicles,1,natural gas,compressed natural gas,1055.164643,0.040096256,2.27195E-06
Transport Canada,2005-06,other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,1909062.169,73117.08105,5.1322771
Transport Canada,2005-06,other mobile equipment,1,gasoline,gasoline,18130.00238,634.5500832,0.044712212
Transport Canada,2005-06,other mobile equipment,1,liquified petroleum gas,propane,80316.9983,2032.823227,0.123715449
Agriculture and Agri-Food Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,315517.258,11045.9881,0.789818144
Agriculture and Agri-Food Canada,2010-11,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),9158.912,320.47584,0.018462438
Agriculture and Agri-Food Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),288628.226,10106.46508,0.619729871
Agriculture and Agri-Food Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),134248.809,4699.63673,0.064255602
Agriculture and Agri-Food Canada,2010-11,On-road vehicles,1,Gasoline,gasoline,1045151,36580.285,2.344273693
Agriculture and Agri-Food Canada,2010-11,On-road vehicles,1,Natural gas,compressed natural gas,196.862,0.029108,1.66061E-06
Agriculture and Agri-Food Canada,2010-11,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,906466.52,31734.614,2.227947219
Agriculture and Agri-Food Canada,2010-11,Other mobile equipment,1,Fuels with renewable content,biodiesel (20%),33782,1182.0525,0.0680974
Agriculture and Agri-Food Canada,2010-11,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),33956.9786,1189.020988,0.072910936
Agriculture and Agri-Food Canada,2010-11,Other mobile equipment,1,Gasoline,gasoline,119068,4167.38,0.267545796
Canada Border Services Agency,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,102080.046,3573.7347,0.255531735
Canada Border Services Agency,2010-11,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),8837.2648,309.221211,0.017814065
Canada Border Services Agency,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),61273.955,2145.5389,0.13156475
Canada Border Services Agency,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),120745.338,4226.92186,0.057792426
Canada Border Services Agency,2010-11,On-road vehicles,1,Gasoline,gasoline,1545955,54108.425,3.467577065
Canada Border Services Agency,2010-11,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,19711.692,690.0894,0.048448132
Canada Revenue Agency,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,23457.548,821.2286,0.058720075
Canada Revenue Agency,2010-11,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),694.792,24.31119,0.001400554
Canada Revenue Agency,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),27895.049,976.75942,0.059895026
Canada Revenue Agency,2010-11,On-road vehicles,1,Gasoline,gasoline,112157,3925.495,0.251568151
Employment and Social Development Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),131.527,4.60163,0.000308181
Employment and Social Development Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,6094.674,213.3693,0.015256484
Employment and Social Development Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),13488.683,472.31314,0.028962309
Employment and Social Development Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),23.859,0.83523,1.14197E-05
Employment and Social Development Canada,2010-11,On-road vehicles,1,Gasoline,gasoline,398004,13930.14,0.892722972
Employment and Social Development Canada,2010-11,On-road vehicles,1,Liquified petroleum gas,propane,50.61,1.7717,0.000107824
Employment and Social Development Canada,2010-11,On-road vehicles,1,Natural gas,compressed natural gas,34.438,0.005092,2.90499E-07
Environment and Climate Change Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),3929.1789,137.467041,0.00920646
Environment and Climate Change Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,176196.5768,6168.49076,0.441063839
Environment and Climate Change Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),131114.8531,4591.053698,0.281524064
Environment and Climate Change Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),83.0004,2.905588,3.97265E-05
Environment and Climate Change Canada,2010-11,On-road vehicles,1,Gasoline,gasoline,1176017.2,41160.602,2.63780658
Environment and Climate Change Canada,2010-11,On-road vehicles,1,Liquified petroleum gas,propane,132.8874,4.651978,0.000283114
Environment and Climate Change Canada,2010-11,On-road vehicles,1,Natural gas,compressed natural gas,35.3375,0.005225,2.98086E-07
Environment and Climate Change Canada,2010-11,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,24157.2704,845.72528,0.05937464
Environment and Climate Change Canada,2010-11,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),21312.3899,746.264242,0.045761029
Environment and Climate Change Canada,2010-11,Other mobile equipment,1,Gasoline,gasoline,244254,8548.89,0.548838738
Fisheries and Oceans Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,646932.524,22648.5518,1.619432954
Fisheries and Oceans Canada,2010-11,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),12117.896,424.01247,0.024427127
Fisheries and Oceans Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),100733.357,3527.23006,0.216290247
Fisheries and Oceans Canada,2010-11,On-road vehicles,1,Gasoline,gasoline,3064234,107248.19,6.873076862
Fisheries and Oceans Canada,2010-11,On-road vehicles,1,Liquified petroleum gas,propane,841.572,29.46084,0.001792956
Health Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,3078.2972,107.76854,0.007705743
Health Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),101897.8184,3568.004272,0.218790528
Health Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),6781.1616,237.387552,0.003245672
